7c770d,151.2376,-33.8587,236.22,55.58,XSV     ,97.98
7c0373,151.0406,-33.7894,548.64,73.19,AYT     ,42.44
7c671b,150.9907,-33.9439,243.84,51.12,UNH     ,290.62
7c443f,151.3288,-33.7782,60.96,47.51,NRL     ,4.97
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1359,-33.698,2453.64,145.31,VOZ942  ,155.98
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.2039,-34.0539,449.58,81.02,QFA430  ,347.91
7c770d,151.2435,-33.8588,228.6,55,XSV     ,82.48
7c0373,151.0456,-33.7847,563.88,73.32,AYT     ,40.73
7c443f,151.3292,-33.7743,60.96,47.51,NRL     ,4.97
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.144,-33.7089,2423.16,145.39,VOZ942  ,143.78
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.203,-34.0507,426.72,80.52,QFA430  ,347.83
7c770d,151.2461,-33.8584,236.22,53.15,XSV     ,64.18
7c0373,151.0479,-33.7825,563.88,73.32,AYT     ,40.73
7c443f,151.3296,-33.7707,60.96,49,NRL     ,4.21
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1486,-33.7136,2415.54,144.46,VOZ942  ,139.33
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.2011,-34.0432,388.62,79.01,QFA430  ,347.59
7c770d,151.2514,-33.8559,236.22,52.79,XSV     ,52.13
7c0373,151.0534,-33.7774,563.88,73.92,AYT     ,42.46
7c443f,151.3296,-33.7707,60.96,49,NRL     ,4.21
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1601,-33.7231,2377.44,146.25,VOZ942  ,134.14
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.2003,-34.0399,365.76,77.9,QFA430  ,347.8
7c770d,151.2533,-33.8546,236.22,52.4,XSV     ,46.59
7c0373,151.056,-33.7749,563.88,74.68,AYT     ,41.93
7c443f,151.3296,-33.7707,60.96,49,NRL     ,4.21
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1656,-33.7278,2354.58,146.62,VOZ942  ,136
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.1994,-34.0366,350.52,77.29,QFA430  ,348.09
7c770d,151.2555,-33.8526,228.6,53.5,XSV     ,43.05
7c0373,151.0589,-33.7723,563.88,74.99,AYT     ,42.78
7c443f,151.3296,-33.7707,60.96,49,NRL     ,4.21
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1711,-33.733,2324.1,146.93,VOZ942  ,138.83
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
